"Day","Session city","Session country","Session region","Sessions","Sessions that completed checkout","Online store visitors","Day (previous_month)","Sessions (previous_month)","Sessions that completed checkout (previous_month)","Online store visitors (previous_month)"
"2025-09-01","Enniskillen","United Kingdom","Northern Ireland",14,0,12,"2025-08-01",5,0,5
"2025-09-01","Navojoa","Mexico","Sonora",1,0,1,"2025-08-01",0,0,0
"2025-09-01","Traverse City","United States","Michigan",11,0,10,"2025-08-01",17,0,13
"2025-09-01","Nettetal","Germany","North Rhine-Westphalia",0,0,0,"2025-08-01",1,0,1
"2025-09-01","Giza","Egypt","Giza",14,0,14,"2025-08-01",9,0,9
"2025-09-02","Procida","Italy","Campania",1,0,1,"2025-08-02",0,0,0
"2025-09-02","Agde","France","Occitanie",0,0,0,"2025-08-02",2,0,1
"2025-09-02","Rickenbach","Germany","Baden-Wurttemberg",0,0,0,"2025-08-02",1,0,1
"2025-09-02","Annemasse","France","Auvergne-Rhône-Alpes",12,0,8,"2025-08-02",5,0,5
"2025-09-02","Blue Earth","United States","Minnesota",0,0,0,"2025-08-02",1,0,1
"2025-09-03","Krasne","Poland","Subcarpathia",0,0,0,"2025-08-03",1,0,1
"2025-09-03","Herzberg am Harz","Germany","Lower Saxony",0,0,0,"2025-08-03",1,0,1
"2025-09-03","Krakow","Poland","Lesser Poland",283,0,243,"2025-08-03",168,0,144
"2025-09-03","Corydon","United States","Indiana",0,0,0,"2025-08-03",1,0,1
"2025-09-03","Montfoort","The Netherlands","Utrecht",0,0,0,"2025-08-03",2,0,1
"2025-09-04","Redwood Valley","United States","California",1,0,1,"2025-08-04",0,0,0
"2025-09-04","Cybinka","Poland","Lubusz",0,0,0,"2025-08-04",1,0,1
"2025-09-04","Pérols","France","Occitanie",1,0,1,"2025-08-04",0,0,0
"2025-09-04","Llansantffraid-ym-Mechain","United Kingdom","Wales",1,0,1,"2025-08-04",0,0,0
"2025-09-04","Västra Tunhem","Sweden","Västra Götaland County",0,0,0,"2025-08-04",2,0,1
"2025-09-05","Siegen","Germany","North Rhine-Westphalia",8,0,6,"2025-08-05",7,0,6
"2025-09-05","Ennis","Ireland","Munster",1,0,1,"2025-08-05",3,0,2
"2025-09-05","Lampeter","United Kingdom","Wales",0,0,0,"2025-08-05",1,0,1
"2025-09-05","Elk River","United States","Minnesota",6,0,6,"2025-08-05",4,0,4
"2025-09-05","Mequon","United States","Wisconsin",6,0,5,"2025-08-05",4,0,4
"2025-09-05","Ennis","United States","Texas",3,0,2,"2025-08-05",0,0,0
"2025-09-05","Ennis","United States","Montana",0,0,0,"2025-08-05",2,0,1
"2025-09-06","Oak Lawn","United States","Illinois",0,0,0,"2025-08-06",17,0,16
"2025-09-06","Low","Canada","Quebec",1,0,1,"2025-08-06",0,0,0
"2025-09-06","Envigado","Colombia","Antioquia",0,0,0,"2025-08-06",6,1,6
"2025-09-06","Chiang Mai","Thailand","Chiang Mai",1,0,1,"2025-08-06",2,0,1
"2025-09-06","Langenlonsheim","Germany","Rheinland-Pfalz",0,0,0,"2025-08-06",1,0,1
"2025-09-07","Delft","The Netherlands","South Holland",8,0,6,"2025-08-07",6,0,4
"2025-09-07","Gladstone","Australia","Queensland",1,0,1,"2025-08-07",9,0,7
"2025-09-07","Drahovce","Slovakia","Trnava Region",0,0,0,"2025-08-07",1,0,1
"2025-09-07","Lake Country","Canada","British Columbia",1,0,1,"2025-08-07",3,0,3
"2025-09-07","Altlußheim","Germany","Baden-Wurttemberg",1,0,1,"2025-08-07",0,0,0
"2025-09-07","Gladstone","United States","New Jersey",0,0,0,"2025-08-07",1,0,1
"2025-09-08","Point Lookout","United States","Missouri",0,0,0,"2025-08-08",1,0,1
"2025-09-08","St-Hippolyte","Canada","Quebec",0,0,0,"2025-08-08",4,0,3
"2025-09-08","Heppner","United States","Oregon",3,0,3,"2025-08-08",2,0,2
"2025-09-08","Rosemount","United States","Minnesota",6,0,6,"2025-08-08",6,0,6
"2025-09-08","Bethesda","United States","Maryland",33,0,27,"2025-08-08",16,0,14
"2025-09-09","Sprockhövel","Germany","North Rhine-Westphalia",0,0,0,"2025-08-09",1,0,1
"2025-09-09","The Bronx","United States","New York",602,6,538,"2025-08-09",472,5,400
"2025-09-09","Ulsteinvik","Norway","Møre og Romsdal",1,0,1,"2025-08-09",1,0,1
"2025-09-09","Essen","Germany","Lower Saxony",1,0,1,"2025-08-09",0,0,0
"2025-09-09","Essen","Germany","North Rhine-Westphalia",147,0,139,"2025-08-09",58,1,54
"2025-09-09","Bleskensgraaf","The Netherlands","South Holland",6,0,5,"2025-08-09",0,0,0
"2025-09-10","Głogówek","Poland","Opole Voivodeship",1,0,1,"2025-08-10",0,0,0
"2025-09-10","Koźmin Wielkopolski","Poland","Greater Poland",1,0,1,"2025-08-10",0,0,0
