Campaign name,By Day,Ad name,Campaign ID,Ad group name,Ad group ID,Ad ID,Cost,Impressions,Clicks (destination),Frequency,Conversions,Video views,2-second video views,6-second video views,Video views at 100%,Video views at 75%,Video views at 50%,Video views at 25%,Average play time per video view,Adds to cart (website),Add to cart value (website),Currency
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-16,Boosted | Video | Influencer/PR | Product | Standard | Dinaskha - Tullulah Maxi Dress Deep Olive | ED: 07/01,1844950107756833,Cold #1 - 3/10/2025,1844950484140033,1845510622379009,2808.08,250553,1643,1.03,14,249266,69320,17699,1127,2036,4694,8956,2.40,173,44949.84,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-15,Top ads | Catalog Videos | 16/09/2025,1845916926901345,Top ads #1 16/09/2025,1845916926901361,1845916926902401,1875.00,170646,3589,2.13,29,143466,12824,4178,1008,1355,2635,6285,1.37,165,38114.83,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-16,Top ads | Catalog Videos | 16/09/2025,1845917639289873,Top ads #1 16/09/2025,1845917639289889,1845917639289905,1858.18,370264,3537,1.87,28,352841,38511,10421,2258,3467,6632,16345,1.37,251,59055.41,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US,2025-10-13,Top ads | Catalog Videos | 16/09/2025,1845233288311809,Top ads #1 16/09/2025,1845233288311857,1845233288312833,1825.41,125940,1566,2.59,21,120284,12771,4067,1102,1706,3130,7326,1.49,165,37597.86,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-17,Top ads | Catalog Videos | 16/09/2025,1845916926901345,Top ads #1 16/09/2025,1845916926901361,1845916926902401,1585.81,42606,1411,3.37,22,30062,1977,663,256,279,549,1192,1.41,111,27616.82,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-16,Top ads | Catalog Videos | 16/09/2025,1845916926901345,Top ads #1 16/09/2025,1845916926901361,1845916926902401,1578.19,68024,2879,3.34,24,44307,2512,838,359,337,621,1434,1.37,143,31993.75,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,Ad | Video | Séduire D2 | Ecom | Reaction | Rosetta Maxi Leopard | ED: 06/01/26,1845424292146225,Drop- #2 | ED: 13/01/2026,1845963573533697,1845963573533729,1480.27,114506,420,1.04,8,113702,27111,6814,1260,1982,4224,10597,2.01,108,25506.58,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US,2025-10-13,Top ads | Catalog Videos | 16/09/2025,1845311242321026,Top ads #1 16/09/2025,1845311242321042,1845311242321058,1469.52,130398,1855,2.71,26,121721,12615,4205,1088,1669,3187,7267,1.46,200,45185.82,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-15,Carina Blush Reaction | TikTok | ED: 4/11/2025,1828310254528529,Keyword Dress - September 3rd - October 3rd,1844971007901729,1844971007904801,1462.27,83444,1516,1.37,11,67806,6721,1900,492,618,1133,2691,1.76,79,19506.37,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-18,Top ads | Catalog Videos | 16/09/2025,1845917639289873,Top ads #1 16/09/2025,1845917639289889,1845917639289905,1443.30,103984,1776,2.57,16,92791,8577,2943,879,1256,2319,5080,1.35,139,33531.77,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-15,Boosted | Video | Influencer/PR | Product | Standard | Dinaskha - Tullulah Maxi Dress Deep Olive | ED: 07/01,1844953045703745,Cold #1 - 3/10/2025,1845141014880338,1845510844896306,1427.16,121661,951,1.02,7,120965,43474,11227,758,1409,3313,5621,2.87,66,13253.75,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-17,Boosted | Video | Influencer/PR | Product | Standard | Dinaskha - Tullulah Maxi Dress Deep Olive | ED: 07/01,1844950107756833,Cold #1 - 3/10/2025,1844950484140033,1845510622379009,1417.41,103362,833,1.01,9,102767,27713,7328,452,853,1923,3719,2.39,68,18048.41,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-18,Top ads | Catalog Videos | 16/09/2025,1845916926901345,Top ads #1 16/09/2025,1845916926901361,1845916926902401,1401.70,72424,1688,3.19,17,59090,4811,1588,543,722,1316,2888,1.34,116,27092.12,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-13,Boosted | Video | Influencer/PR | Product | Standard | Dinaskha - Tullulah Maxi Dress Deep Olive | ED: 07/01,1844950107756833,Cold #1 - 3/10/2025,1844950484140033,1845510622379009,1309.65,86533,767,1.05,19,86077,19937,5383,332,635,1440,2694,2.20,124,30154.69,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-17,Boosted | Video | Influencer/PR | Product | Standard | Dinaskha - Tullulah Maxi Dress Deep Olive | ED: 07/01,1844953045703745,Cold #1 - 3/10/2025,1845141014880338,1845510844896306,1250.11,106232,711,1.04,2,105607,35567,9327,660,1228,2788,4672,2.77,38,8685.17,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-13,Boosted | Video | Influencer/PR | Product | Standard | Dinaskha - Tullulah Maxi Dress Deep Olive | ED: 07/01,1844953045703745,Cold #1 - 3/10/2025,1845141014880338,1845510844896306,1246.92,99732,807,1.06,21,99172,37528,9904,681,1238,2917,4945,3.01,103,23318.06,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-16,Carina Blush Reaction | TikTok | ED: 4/11/2025,1828310254528529,Keyword Dress - September 3rd - October 3rd,1844971007901729,1844971007904801,1222.72,56273,1355,1.34,4,44494,4325,1173,320,372,693,1704,1.66,31,8099.92,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-17,Top ads | Catalog Videos | 16/09/2025,1845917639289873,Top ads #1 16/09/2025,1845917639289889,1845917639289905,1204.55,66480,1503,2.55,31,54389,4501,1553,489,653,1194,2632,1.46,129,31114.13,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-14,Top ads | Catalog Videos | 16/09/2025,1845916926901345,Top ads #1 16/09/2025,1845916926901361,1845916926902401,1059.30,173880,1807,1.76,11,165770,20529,7621,1460,2529,5034,12251,1.52,94,22851.28,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-15,Top ads | Catalog Videos | 16/09/2025,1845917639289873,Top ads #1 16/09/2025,1845917639289889,1845917639289905,1028.19,83399,1281,2.67,22,76667,6904,2225,683,941,1688,3859,1.32,106,23731.42,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US,2025-10-14,Top ads | Catalog Videos | 16/09/2025,1845311242321026,Top ads #1 16/09/2025,1845311242321042,1845311242321058,1022.27,103183,1326,2.24,7,96032,10055,3464,918,1356,2490,5623,1.42,79,17365.00,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-17,Carina Blush Reaction | TikTok | ED: 4/11/2025,1828310254528529,Keyword Dress - September 3rd - October 3rd,1844971007901729,1844971007904801,1022.26,61333,1495,1.40,2,47368,4449,1095,281,315,607,1619,1.59,33,8523.87,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-18,Boosted | Video | Influencer/PR | Product | Standard | Dinaskha - Tullulah Maxi Dress Deep Olive | ED: 07/01,1844950107756833,Cold #1 - 3/10/2025,1844950484140033,1845510622379009,1018.73,65547,439,1.02,2,65131,17367,4604,327,568,1219,2403,2.38,46,11842.21,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-19,Boosted | Video | Influencer/PR | Product | Standard | Dinaskha - Tullulah Maxi Dress Deep Olive | ED: 07/01,1844950107756833,Cold #1 - 3/10/2025,1844950484140033,1845510622379009,990.69,74297,572,1.70,3,73816,18524,4824,310,593,1303,2520,2.30,26,6881.42,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-15,Fable Gown Talking Behind Back Blush | TikTok | ED: 16/12/2025,1842432041382946,Cold #2 - 12/9/2025,1843043221064738,1843509777903810,889.11,123558,264,1.01,7,123163,16296,4916,2528,3697,6574,13283,1.44,20,2925.29,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-15,Boosted | Video | Influencer/PR | Product | Standard | Dinaskha - Tullulah Maxi Dress Deep Olive | ED: 07/01,1844950107756833,Cold #1 - 3/10/2025,1844950484140033,1845510622379009,873.31,51545,389,1.05,7,51255,12201,3292,218,384,856,1677,2.22,45,13709.75,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-14,Carina Blush Reaction | TikTok | ED: 4/11/2025,1828310254528529,Keyword Dress - September 3rd - October 3rd,1844971007901729,1844971007904801,849.40,48499,1033,1.45,9,37740,3317,954,255,305,552,1359,1.64,62,15555.89,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-13,Carina Blush Reaction | TikTok | ED: 4/11/2025,1828313328645185,Competitors - September 3rd - October 3rd,1844967284302929,1844968872389761,843.94,45766,1289,1.40,8,37400,3672,1095,294,348,663,1566,1.72,27,7253.03,AUD
Seasonal Collection | US Only,2025-10-15,Seasonal Bride To Be | @yasminbright | Logo Only | PR Content,1841693723595922,Seasonal Bridal NEW,1841693723595938,1841693723599986,810.74,97138,712,1.08,9,96641,14524,4881,1399,2290,4279,9228,1.61,94,23621.47,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-17,Ad | Video | Ecom | Reaction | Palmer Mini Burgundy | ED: 06/01/26,1845424292146225,Drop- #1 | ED: 06/01/2026,1845424292147201,1845424292148273,807.82,69231,317,1.03,4,68697,15337,4540,606,1066,2254,5367,2.06,76,19237.74,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-13,Fable Gown Talking Behind Back Blush | TikTok | ED: 16/12/2025,1842432041382946,Cold #2 - 12/9/2025,1843043221064738,1843509777903810,806.92,114161,254,1.07,7,113764,15052,4661,2277,3406,6226,12134,1.46,38,7398.58,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,Ad | Video | Séduire D2 | Campaign | Product | Standard | Sauline Mini Red | ED: 06/01/26,1845424292146225,Drop- #2 | ED: 13/01/2026,1845963573533697,1845963573533745,799.39,52677,158,1.04,1,52335,9887,2152,671,1009,1851,4983,1.70,48,11073.90,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-13,Carina Blush Reaction | TikTok | ED: 4/11/2025,1828310254528529,Keyword Dress - September 3rd - October 3rd,1844971007901729,1844971007904801,797.27,50201,1345,1.45,15,39532,3672,1039,277,330,601,1498,1.68,59,15087.41,AUD
Seasonal Collection | US Only,2025-10-17,Seasonal Birthday | Lorelai Black Reaction | Logo Only | Ecom Content,1841693723595922,Seasonal Birthday,1842067433032785,1842067433032801,782.91,87336,882,1.02,4,86924,19439,5267,908,1281,2197,4416,2.13,77,21075.06,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - Top Markets,2025-10-16,Atelier 2 Collection Drop 1 | Video 1 (Ecom) | ED: 25/11/2025,1842787398687857,Drop- #1 | ED: 25/11/2025,1842787398689857,1842787529649218,747.63,110979,210,1.02,1,110437,13031,3454,1220,1840,3090,7591,1.35,29,5256.84,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-14,Helen Blush Pan Up | TikTok | ED: 1/11/2025,1828310254528529,Keyword Dress - August 7th - September 2nd,1842165431360866,1842165431361538,741.19,35239,1125,1.60,12,23006,1771,233,356,185,593,1639,1.58,51,10512.03,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,Ad | Video | Ecom | Reaction | Alba Maxi Burgundy | ED: 06/01/26,1845424292146225,Drop- #1 | ED: 06/01/2026,1845424292147201,1845424292149249,714.87,42823,143,1.03,8,42503,10577,2524,241,430,940,2663,2.03,33,7348.42,AUD
Seasonal Collection | US Only,2025-10-16,Seasonal Birthday | Lorelai Black Reaction | Logo Only | Ecom Content,1841693723595922,Seasonal Birthday,1842067433032785,1842067433032801,696.74,91186,674,1.02,7,90778,15568,4133,684,948,1667,3450,1.81,53,14577.12,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-16,Carina Blush Reaction | TikTok | ED: 4/11/2025,1828313328645185,Competitors - September 3rd - October 3rd,1844967284302929,1844968872389761,687.18,35126,819,1.26,4,29390,3122,921,229,313,551,1300,1.71,17,5072.74,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-18,Boosted | Video | Influencer/PR | Product | Standard | Dinaskha - Tullulah Maxi Dress Deep Olive | ED: 07/01,1844953045703745,Cold #1 - 3/10/2025,1845141014880338,1845510844896306,685.12,58382,420,1.05,2,57940,16495,4114,279,479,1128,2028,2.47,23,6437.56,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-17,Solune Collection Drop 1 | Video 7 (Ecom Reaction) | ED: 18/11/2025,1840921375952049,Drop- #1 | ED: 18/11/2025,1840921408050258,1840921408053250,684.03,206707,1185,1.02,2,205775,53955,12371,1354,2416,4787,14454,1.98,66,13581.76,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-14,Boosted | Video | Influencer/PR | Product | Standard | Dinaskha - Tullulah Maxi Dress Deep Olive | ED: 07/01,1844950107756833,Cold #1 - 3/10/2025,1844950484140033,1845510622379009,678.82,46335,284,1.02,12,46137,9679,2399,154,275,657,1192,2.02,87,20255.36,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-17,Carina Blush Reaction | TikTok | ED: 4/11/2025,1828313328645185,Competitors - September 3rd - October 3rd,1844967284302929,1844968872389761,663.01,36540,1115,1.30,3,28512,2912,699,203,224,402,1022,1.65,16,4326.70,AUD
