Campaign name,By Day,Subregion,Cost,Impressions,Clicks (destination),Conversions,Frequency,Currency
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-15,New South Wales,1500.95,207259,460,8,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-17,New South Wales,1361.16,190585,336,8,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-13,New South Wales,1202.68,171435,372,21,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-15,Victoria,1089.18,159118,298,6,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-16,California,1038.88,96447,426,6,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,California,937.56,69783,170,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-17,Victoria,902.89,134399,228,6,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-14,New South Wales,873.47,109855,249,11,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-19,New South Wales,872.21,98685,341,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-13,Victoria,804.35,124134,258,13,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-15,New South Wales,773.17,71914,341,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-15,Queensland,753.74,101473,181,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-18,New South Wales,747.99,96869,192,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-17,New South Wales,746.72,69179,316,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-19,Victoria,714.91,81153,271,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - Top Markets,2025-10-16,New South Wales,706.32,107148,206,3,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-15,New South Wales,659.78,159679,822,8,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-16,Texas,652.27,64600,371,4,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-18,England,639.94,73887,301,1,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-15,California,629.76,56442,148,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-19,New South Wales,625.44,73387,183,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-17,Queensland,619.18,81398,151,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-14,Victoria,587.89,80816,172,3,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-15,New South Wales,583.32,26562,409,5,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-15,Victoria,578.28,56544,324,8,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-16,New York,576.61,55617,274,4,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-17,Victoria,571.08,53555,258,3,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,Texas,570.40,42909,130,3,-,AUD
Seasonal Collection | US Only,2025-10-18,California,563.92,51698,369,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-14,California,563.03,52247,163,8,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-13,New South Wales,560.34,105024,579,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-13,Queensland,555.36,77091,166,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,Florida,554.61,40141,98,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-17,England,543.46,65487,240,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - Top Markets,2025-10-16,Victoria,536.90,84511,137,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-18,Victoria,532.76,71412,149,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-12,California,529.78,45513,158,2,-,AUD
Seasonal Collection | US Only,2025-10-15,California,524.38,58248,421,8,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,New York,517.00,40716,112,6,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-12,New South Wales,505.46,71107,416,6,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-16,Florida,500.12,48540,275,5,-,AUD
Seasonal Collection | US Only,2025-10-17,California,498.07,49609,423,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-16,New South Wales,485.02,54702,171,4,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-19,Queensland,482.08,51411,154,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-13,England,477.92,59475,251,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-15,Victoria,476.97,22432,378,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-19,Victoria,472.70,56599,126,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-15,Victoria,471.69,127924,671,2,-,AUD
Seasonal Collection | US Only,2025-10-16,California,468.34,53834,356,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-12,California,466.13,33539,222,6,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-18,California,437.15,32165,82,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-13,California,435.80,32199,220,8,-,AUD
